5509570,2019-06-13 00:56:54.000,2019-06-13 01:12:00.000,4131,46281,JAAR,012,18,068,18
5509582,2019-06-13 00:34:26.000,2019-06-13 00:36:32.000,447,65948,JAAR,118,18,109,18
5509586,2019-06-13 00:24:59.000,2019-06-13 00:31:05.000,1907,50718,JAAR,026,18,101,18
5509590,2019-06-13 00:13:38.000,2019-06-13 00:14:44.000,1308,41162,JAAR,122,18,122,18
5509594,2019-06-13 00:56:02.000,2019-06-13 01:07:08.000,1059,37085,JAAR,252,36,118,18
5509598,2019-06-13 00:17:45.000,2019-06-13 00:31:51.000,1627,63494,JAAR,225,36,052,18
5509602,2019-06-13 00:59:52.000,2019-06-13 01:06:58.000,5553,53845,JAAR,201,36,092,18
5509606,2019-06-13 00:10:20.000,2019-06-13 00:19:26.000,2784,48264,JAAR,100,1,154,18
5509610,2019-06-13 00:36:27.000,2019-06-13 00:42:33.000,1310,62722,JAAR,025,18,055,36
5509614,2019-06-13 00:16:39.000,2019-06-13 00:23:45.000,1310,75103,JAAR,055,36,132,18
5509618,2019-06-13 00:39:48.000,2019-06-13 00:45:54.000,770,66950,JAAR,237,35,124,18
5509622,2019-06-13 00:52:36.000,2019-06-13 01:00:42.000,781,76277,JAAR,097,18,124,18
5509626,2019-06-13 00:24:05.000,2019-06-13 00:29:11.000,1792,4948,JAAR,117,18,019,18
5509630,2019-06-13 00:35:50.000,2019-06-13 00:39:56.000,5504,46405,JAAR,071,18,117,18
5509634,2019-06-13 01:35:18.000,2019-06-13 01:50:24.000,3455,70169,JAAR,125,35,227,35
5509638,2019-06-13 01:49:46.000,2019-06-13 01:59:52.000,5402,36616,JAAR,023,18,135,18
5509642,2019-06-13 01:31:24.000,2019-06-13 02:06:30.000,787,57998,JAAR,081,18,323,35
5509654,2019-06-13 01:16:42.000,2019-06-13 01:25:48.000,1701,29869,JAAR,020,18,115,18
5509658,2019-06-13 01:55:02.000,2019-06-13 02:11:08.000,1592,59089,JAAR,061,36,323,36
5509666,2019-06-13 01:29:29.000,2019-06-13 01:31:35.000,1423,31353,JAAR,082,18,027,18
5509670,2019-06-13 02:56:18.000,2019-06-13 03:02:24.000,1997,66209,JAAR,208,18,305,36
5509674,2019-06-13 02:43:36.000,2019-06-13 02:44:42.000,5321,14516,JAAR,068,18,068,18
5509678,2019-06-13 02:24:55.000,2019-06-13 02:34:01.000,580,56654,JAAR,096,18,061,36
5509682,2019-06-13 02:45:34.000,2019-06-13 02:50:40.000,5767,3303,JAAR,228,36,011,18
5509690,2019-06-13 02:08:42.000,2019-06-13 02:26:48.000,580,66780,JAAR,061,36,204,35
5509694,2019-06-13 02:03:48.000,2019-06-13 02:07:54.000,770,52331,JAAR,053,18,043,36
5509698,2019-06-13 02:31:07.000,2019-06-13 02:52:13.000,4005,69313,JAAR,041,18,335,34
5509702,2019-06-13 03:42:04.000,2019-06-13 03:51:10.000,2562,48898,JAAR,224,35,061,36
5509706,2019-06-13 03:53:21.000,2019-06-13 04:17:27.000,5632,15976,JAAR,105,35,235,35
5509710,2019-06-13 04:18:25.000,2019-06-13 04:19:31.000,4122,58741,JAAR,107,35,107,35
5509714,2019-06-13 04:23:27.000,2019-06-13 04:35:33.000,1627,30311,JAAR,052,18,125,35
5509726,2019-06-13 05:42:03.000,2019-06-13 05:50:09.000,5767,9462,JAAR,011,18,045,18
5509730,2019-06-13 05:43:47.000,2019-06-13 05:49:53.000,3910,72074,JAAR,001,18,091,18
5509738,2019-06-13 05:25:54.000,2019-06-13 05:42:00.000,5553,7752,JAAR,201,36,272,18
5509742,2019-06-13 05:09:36.000,2019-06-13 05:10:42.000,833,62634,JAAR,078,18,078,18
5509746,2019-06-13 05:55:40.000,2019-06-13 06:08:46.000,3733,37958,JAAR,136,36,038,35
5509750,2019-06-13 06:57:32.000,2019-06-13 07:13:38.000,5379,71640,JAAR,227,36,159,35
5509754,2019-06-13 06:43:56.000,2019-06-13 07:00:02.000,1316,58120,JAAR,087,35,055,1
5509758,2019-06-13 06:57:05.000,2019-06-13 07:16:11.000,605,63521,JAAR,050,36,300,18
5509766,2019-06-13 06:16:33.000,2019-06-13 06:23:39.000,624,19605,JAAR,134,36,047,18
5509770,2019-06-13 06:50:19.000,2019-06-13 07:00:25.000,782,36996,JAAR,031,18,089,18
5509774,2019-06-13 06:20:11.000,2019-06-13 06:26:17.000,899,11329,JAAR,225,35,155,35
5509778,2019-06-13 06:35:03.000,2019-06-13 06:57:09.000,858,45518,JAAR,263,36,038,35
5509782,2019-06-13 06:04:34.000,2019-06-13 06:11:40.000,2675,40326,JAAR,059,35,071,18
5509786,2019-06-13 06:18:11.000,2019-06-13 06:28:17.000,5607,9103,JAAR,075,18,266,35
5509790,2019-06-13 06:23:53.000,2019-06-13 06:38:59.000,672,7120,JAAR,148,18,031,18
5509794,2019-06-13 06:13:13.000,2019-06-13 06:25:19.000,1395,14601,JAAR,105,35,125,36
5509798,2019-06-13 06:42:58.000,2019-06-13 07:02:04.000,390,50866,JAAR,042,18,280,35
5509802,2019-06-13 06:32:04.000,2019-06-13 06:33:10.000,5327,22579,JAAR,142,35,142,35
5509806,2019-06-13 07:58:40.000,2019-06-13 08:15:46.000,5631,16356,JAAR,206,35,075,18
5509810,2019-06-13 07:56:05.000,2019-06-13 08:08:11.000,4084,58504,JAAR,298,36,059,36
5509814,2019-06-13 07:54:27.000,2019-06-13 08:03:33.000,974,5282,JAAR,013,18,054,18
5509818,2019-06-13 07:38:32.000,2019-06-13 07:39:38.000,1786,35445,JAAR,033,35,033,35
5509822,2019-06-13 07:57:12.000,2019-06-13 08:18:18.000,1916,1968,JAAR,211,35,059,36
5509826,2019-06-13 07:02:30.000,2019-06-13 07:10:36.000,68,37551,JAAR,009,18,105,35
5509830,2019-06-13 07:38:33.000,2019-06-13 07:39:39.000,1571,35887,JAAR,127,36,127,36
5509838,2019-06-13 07:24:41.000,2019-06-13 07:36:47.000,861,71869,JAAR,034,18,266,36
5509842,2019-06-13 07:51:56.000,2019-06-13 08:18:02.000,2694,2917,JAAR,101,18,276,35
5509850,2019-06-13 07:13:26.000,2019-06-13 07:21:32.000,2770,58168,JAAR,051,35,033,35
5509854,2019-06-13 07:54:34.000,2019-06-13 08:04:40.000,4195,13003,JAAR,134,35,101,18
5509858,2019-06-13 07:12:57.000,2019-06-13 07:14:03.000,2740,20136,JAAR,307,35,307,35
5509862,2019-06-13 07:11:05.000,2019-06-13 07:49:11.000,4151,48637,JAAR,331,18,203,35
5509866,2019-06-13 07:31:08.000,2019-06-13 07:38:14.000,4186,3585,JAAR,063,35,051,35
5509870,2019-06-13 07:06:30.000,2019-06-13 07:21:36.000,3910,70650,JAAR,091,18,143,18
5509874,2019-06-13 07:03:46.000,2019-06-13 07:08:52.000,5595,6580,JAAR,079,18,075,18
5509878,2019-06-13 07:17:45.000,2019-06-13 07:26:51.000,5550,56213,JAAR,069,36,079,18
5509882,2019-06-13 07:12:08.000,2019-06-13 07:15:14.000,2757,68171,JAAR,066,18,113,35
5509886,2019-06-13 07:12:23.000,2019-06-13 07:20:29.000,3481,52921,JAAR,022,18,070,18
5509894,2019-06-13 07:50:14.000,2019-06-13 08:00:20.000,37,35066,JAAR,088,18,136,36
5509898,2019-06-13 07:45:56.000,2019-06-13 08:05:02.000,3574,23903,JAAR,206,36,241,18
5509906,2019-06-13 07:54:04.000,2019-06-13 07:55:10.000,1149,63529,JAAR,080,18,058,18
5509910,2019-06-13 07:40:47.000,2019-06-13 07:48:53.000,1216,41286,JAAR,112,18,341,35
5509914,2019-06-13 07:24:40.000,2019-06-13 07:29:46.000,2720,77071,JAAR,064,18,121,18
5509918,2019-06-13 07:15:05.000,2019-06-13 07:30:11.000,3972,20215,JAAR,025,18,136,36
5509922,2019-06-13 07:35:38.000,2019-06-13 07:38:44.000,1792,36303,JAAR,019,18,091,18
5509926,2019-06-13 07:58:58.000,2019-06-13 08:01:04.000,1571,47804,JAAR,127,36,123,35
5509930,2019-06-13 07:13:56.000,2019-06-13 07:21:02.000,770,73208,JAAR,043,36,040,18
5509938,2019-06-13 07:49:56.000,2019-06-13 07:58:02.000,572,28705,JAAR,264,35,112,18
5509942,2019-06-13 07:56:47.000,2019-06-13 08:21:53.000,3979,72398,JAAR,251,35,207,36
5509572,2019-06-13 00:45:19.000,2019-06-13 00:46:25.000,390,73608,JAAR,042,18,042,18
5509584,2019-06-13 00:42:27.000,2019-06-13 00:43:33.000,3867,38528,JAAR,077,18,077,18
5509588,2019-06-13 00:42:41.000,2019-06-13 00:43:47.000,3830,29075,JAAR,050,35,050,35
5509592,2019-06-13 00:56:45.000,2019-06-13 01:00:51.000,447,22642,JAAR,109,18,123,35
5509596,2019-06-13 00:37:51.000,2019-06-13 00:45:57.000,5321,33038,JAAR,052,18,068,18
5509600,2019-06-13 00:37:27.000,2019-06-13 00:42:33.000,1316,18399,JAAR,100,18,087,35
5509604,2019-06-13 00:44:45.000,2019-06-13 00:54:51.000,5553,66293,JAAR,092,18,201,36
5509608,2019-06-13 00:12:53.000,2019-06-13 00:13:59.000,5570,16378,JAAR,125,36,125,36
5509612,2019-06-13 00:14:15.000,2019-06-13 00:18:21.000,5619,53103,MAAND,048,35,135,18
5509616,2019-06-13 00:21:31.000,2019-06-13 00:36:37.000,2662,41309,JAAR,324,35,226,35
5509620,2019-06-13 00:28:13.000,2019-06-13 00:43:19.000,271,3649,JAAR,137,35,237,35
5509624,2019-06-13 00:47:23.000,2019-06-13 00:52:29.000,974,2054,JAAR,113,36,137,35
5509628,2019-06-13 00:25:24.000,2019-06-13 00:33:30.000,3910,70547,JAAR,227,35,113,36
5509632,2019-06-13 01:07:42.000,2019-06-13 01:13:48.000,861,54937,JAAR,044,36,034,18
5509636,2019-06-13 01:43:09.000,2019-06-13 01:51:15.000,3452,51685,JAAR,243,36,092,18
5509644,2019-06-13 01:21:26.000,2019-06-13 01:27:32.000,1701,62568,JAAR,155,35,020,18
5509648,2019-06-13 01:43:12.000,2019-06-13 02:11:18.000,1289,20672,JAAR,323,36,048,35
